filling time,[CH4] (ppb),δD SMOW (‰)
2016-12-08 03:20:00,2214.0,-106.68
2016-12-08 03:54:00,2207.0,-110.64
2016-12-08 06:10:00,2129.0,-104.85
2016-12-08 21:21:00,2144.0,-96.57
2016-12-08 21:56:00,2176.0,-98.91
2016-12-08 22:30:00,2190.0,-101.05
2016-12-08 23:39:00,2179.0,-107.49
2016-12-09 00:13:00,2132.0,-105.4
2016-12-09 01:22:00,2051.0,-91.29
2016-12-09 01:56:00,2015.0,-85.17
2016-12-09 03:05:00,1971.0,-85.89
2016-12-09 03:40:00,1975.0,-84.75
2016-12-09 04:48:00,1970.0,-84.69
2016-12-09 05:23:00,1996.0,-90.57
2016-12-09 06:31:00,1997.0,-92.78
2016-12-09 07:06:00,2015.0,-96.53
2016-12-09 08:15:00,1998.0,-84.88
2016-12-09 08:49:00,1993.0,-87.7
2016-12-09 09:58:00,1968.0,-79.04
2016-12-09 10:32:00,1989.0,-87.82
2016-12-09 11:41:00,2056.0,-92.7
2016-12-09 12:15:00,2152.0,-106.92
2016-12-09 13:24:00,2250.0,-111.68
2016-12-09 13:59:00,2258.0,-109.61
2016-12-09 15:07:00,2206.0,-115.61
2016-12-09 15:42:00,2204.0,-113.06
2016-12-09 16:50:00,2194.0,-116.24
2016-12-09 17:25:00,2200.0,-117.09
2016-12-09 18:34:00,2138.0,-98.56
2016-12-09 19:08:00,2126.0,-102.83
2016-12-09 20:17:00,2108.0,-107.77
2016-12-09 20:51:00,2139.0,-107.08
2016-12-09 22:00:00,2165.0,-113.11
2016-12-09 22:34:00,2170.0,-110.1
2016-12-09 23:43:00,2199.0,-100.5
2016-12-10 00:18:00,2144.0,-108.17
2016-12-10 01:26:00,2179.0,-111.67
2016-12-10 02:01:00,2213.0,-106.79
2016-12-10 03:09:00,2193.0,-96.91
2016-12-10 03:44:00,2189.0,-94.63
2016-12-10 04:53:00,2222.0,-108.11
2016-12-10 05:27:00,2157.0,-104.0
2016-12-10 06:36:00,2220.0,-106.71
2016-12-10 07:10:00,2202.0,-110.19
2016-12-10 08:19:00,2201.0,-101.0
2016-12-10 08:53:00,2223.0,-110.28
2016-12-10 10:02:00,2221.0,-105.52
2016-12-10 10:37:00,2192.0,-104.13
2016-12-10 11:45:00,2192.0,-110.32
2016-12-10 12:20:00,2145.0,-107.4
2016-12-10 13:28:00,2192.0,-104.05
2016-12-10 14:03:00,2224.0,-110.9
2016-12-10 15:12:00,2109.0,-98.79
2016-12-10 15:46:00,2190.0,-109.22
2016-12-10 16:55:00,2215.0,-105.52
2016-12-10 17:29:00,2263.0,-110.23
2016-12-10 18:38:00,2256.0,-99.78
2016-12-11 10:04:00,1955.0,-91.67
2016-12-11 11:13:00,1946.0,-79.65
2016-12-11 11:47:00,1931.0,-85.62
2016-12-11 12:56:00,1936.0,-89.24
2016-12-11 13:30:00,1936.0,-85.66
2016-12-11 14:39:00,1951.0,-81.67
2016-12-11 15:13:00,1947.0,-76.23
2016-12-11 16:22:00,1944.0,-76.68
2016-12-11 16:56:00,1898.0,-63.87
2016-12-11 18:05:00,1907.0,-78.63
2016-12-11 18:40:00,1938.0,-77.87
2016-12-11 19:48:00,1937.0,-75.7
2016-12-11 20:23:00,1927.0,-72.12
2016-12-11 21:32:00,1921.0,-82.05
2016-12-11 22:06:00,1931.0,-74.24
2016-12-11 23:15:00,1926.0,-88.68
2016-12-11 23:49:00,1907.0,-80.44
2016-12-12 00:58:00,1921.0,-89.46
2016-12-12 01:32:00,1937.0,-81.36
2016-12-12 02:41:00,1897.0,-90.98
2016-12-12 03:15:00,1919.0,-93.16
2016-12-12 04:24:00,1887.0,-91.91
2016-12-12 04:59:00,1927.0,-93.58
2016-12-12 06:07:00,1964.0,-86.03
